Name,Latitude,Longitude
Kommetjie,-34.13700485,18.32846466
Noordhoek,-34.0976525,18.35387313
Kalk Bay,-34.12782005,18.44863727
Melkbosstrand,-33.72434974,18.44215005
Fish Hoek,-34.13768681,18.43372689
Plettenberg Bay,-34.07851977,23.37159588
Pringle Bay,-34.34398242,18.82911833
Strand,-34.10673167,18.81774402
Blouberg,-33.82478158,18.47738152
Muizenberg,-34.10852986,18.47052684
Die Dam,-34.76682084,19.68351271
Glencairn,-34.16000908,18.43164086
Yzerfontein,-33.34155792,18.16075639
Mossel Bay,-34.17795465,22.13802422
Pearly Beach,-34.66912843,19.49918812
Hartenbos,-34.1229255,22.12088663
Cape Town,-33.91214606,18.43124388
Groot Brakrivier,-34.05710343,22.23760771
Velddrif,-32.76288838,18.15445416
Langebaan,-33.0913812,18.03005854
Lambert's Bay,-32.08568611,18.31269635
Groenriviermond,-30.86582048,17.57801498
Namakwa,-30.56218,17.41122
Kleinsee,-29.569517,16.998957
Cliff Point,-29.09833333,16.81833333
